id,text,language,platform,region,date,aspect,sentiment,sarcasm
61,Idhu Customer care number busy.,ta,support,AP,2025-12-04,service,neutral,0
62,"Idhu Refund romba slow, no response for 24 hours aachu.",ta,instagram,TN,2026-02-09,refund,negative,0
63,"Delivery ok, but pakainm.",en,twitter,AP,2026-01-02,delivery,neutral,0
64,"Idhu Service romba mosam, nobody answered.",ta,reviews,DL,2026-01-14,service,negative,0
65,Wow amazing… came damaged 🙃,ta,instagram,KA,2025-11-27,packaging,negative,1
66,Replacement fast-a arrange pannanga.,mix,reviews,TS,2025-12-26,service,positive,0
67,"Refund stuck, no update.",mix,twitter,TN,2026-02-19,refund,negative,0
68,Idhu Delivery romba mosam. Tracking update illa.,ta,support,AP,2026-02-21,delivery,negative,0
69,Costly and quality poor.,mix,twitter,DL,2025-12-14,price,negative,0
70,Great service 👏 no response for 24 hours wait pannanum,mix,youtube,DL,2025-12-27,packaging,negative,1
71,"Service worst, nobody answered.",mix,youtube,KL,2025-12-04,service,negative,0
72,"Idhu App crash aagudhu, battery drain.",ta,reviews,MH,2026-02-02,app,negative,0
73,Refund status pending.,en,reviews,TS,2025-12-27,refund,neutral,0
74,"Idhu Service romba mosam, nobody answered.",ta,support,TS,2025-12-14,service,negative,0
75,"Return initiated, waiting.",en,twitter,KL,2026-02-03,refund,neutral,0
76,Refund quick-a process aayiduchu ✅,en,instagram,TN,2026-02-10,refund,positive,0
77,Price ok for this quality.,en,twitter,KA,2026-01-27,price,positive,0
78,Customer service vera level. Quick response.,mix,support,AP,2026-02-18,service,positive,0
79,"Delivery romba late, 4 days delay 😡",mix,reviews,DL,2026-01-06,delivery,negative,0
80,"Idhu App UI smooth, easy to use.",ta,twitter,KA,2025-12-30,app,positive,0
81,"Support team helpful, issue solve pannitanga.",mix,instagram,TS,2026-01-29,service,positive,0
82,Wow amazing… late delivery 🙃,mix,youtube,DL,2025-12-18,app,negative,1
83,"No bubble wrap, worst packing.",mix,twitter,MH,2026-02-02,packaging,negative,0
84,Price ok for this quality.,mix,instagram,TN,2025-11-28,price,positive,0
85,Payment failure repeatedly.,mix,twitter,AP,2025-11-27,app,negative,0
86,Idhu Quality mass! build strong 💯,ta,support,TN,2026-02-24,quality,positive,0
87,Price ok for this quality.,mix,support,TS,2025-12-29,price,positive,0
88,Super quality… 2 days la broke in 1 day 😏,mix,instagram,KA,2026-01-04,packaging,negative,1
89,Customer care number busy.,mix,reviews,AP,2026-02-05,service,neutral,0
90,Idhu Return approve pannala.,ta,youtube,AP,2026-02-07,refund,negative,0
91,Arrived. Will test and update.,mix,youtube,TN,2026-02-04,delivery,neutral,0
92,Same product elsewhere cheaper.,mix,reviews,DL,2025-12-06,price,negative,0
93,"Support reply pannala, 2 hours wait 😤",mix,instagram,DL,2026-02-23,service,negative,0
94,Idhu Looks fine. Long-term paakanum.,ta,support,TS,2026-02-11,quality,neutral,0
95,"Price romba high, not worth.",mix,support,KL,2026-01-14,price,negative,0
96,App performance nice.,mix,twitter,TN,2025-12-31,app,positive,0
97,"Delivery very inte, 8 days deiny 😡",en,twitter,TN,2026-01-05,delivery,negative,0
98,Idhu Will contact support later.,ta,support,AP,2026-02-06,service,neutral,0
99,Delivery worst. Tracking update ilin.,en,support,TS,2026-01-07,delivery,negative,0
100,"Packaging neat, no damage.",en,support,KA,2026-02-01,packaging,positive,0
101,Customer care number busy.,en,twitter,KA,2025-12-18,service,neutral,0
102,Quality hate. screen issue iruku.,en,reviews,KA,2026-02-11,quality,negative,0
103,Idhu Customer service excellent. Quick response.,ta,support,KL,2026-01-14,service,positive,0
104,"Material good, value for money.",mix,instagram,TS,2026-01-27,quality,positive,0
105,Requested refund today.,mix,youtube,KA,2026-01-14,refund,neutral,0
106,Well packed ✅,mix,support,KA,2025-11-30,packaging,positive,0
107,Great service 👏 3 days wait pannanum,mix,youtube,KA,2025-12-27,service,negative,1
108,Courier smooth-a deliver did.,en,support,AP,2026-01-27,delivery,positive,0
109,"Refund stuck, no update.",en,support,TS,2026-02-16,refund,negative,0
110,Box normal-a irundhuchu.,mix,support,TN,2026-02-17,packaging,neutral,0
111,Worth for money ✅,mix,support,TS,2026-02-06,price,positive,0
112,"Idhu Packing poor, box torn.",ta,support,MH,2025-12-16,packaging,negative,0
113,"Courier rude, package damage aayiduchu.",en,instagram,DL,2026-01-10,delivery,negative,0
114,Great service 👏 1 hour wait pannanum,mix,reviews,TN,2026-02-24,service,negative,1
115,"Delivery romba late, 6 days delay 😡",mix,twitter,DL,2025-11-29,delivery,negative,0
116,Well packed ✅,mix,youtube,KA,2026-02-06,packaging,positive,0
117,"App crash aagudhu, overheating.",mix,reviews,AP,2025-11-30,app,negative,0
118,Installed. Will try later.,mix,instagram,KA,2026-01-01,app,neutral,0
119,"Courier rude, package damage aayiduchu.",mix,reviews,KL,2026-02-02,delivery,negative,0
120,Return approve pannala.,mix,support,AP,2025-12-19,refund,negative,0
121,"Delivery ok, but pakalam.",mix,youtube,KA,2026-02-23,delivery,neutral,0
122,"Support reply pannala, 2 hours wait 😤",mix,reviews,KA,2026-02-16,service,negative,0
123,Looks fine. Long-term paakanum.,en,reviews,DL,2026-02-14,quality,neutral,0
124,"No bubble wrap, worst packing.",mix,reviews,TS,2026-01-18,packaging,negative,0
125,Wow amazing… came damaged 🙃,mix,instagram,DL,2026-01-03,delivery,negative,1
126,Idhu Cheap feel. Not recommended.,ta,reviews,KA,2026-02-07,quality,negative,0
127,Refund quick-a process aayiduchu ✅,en,twitter,DL,2026-01-22,refund,positive,0
128,Replacement fast-a arrange pannanga.,mix,youtube,KL,2025-12-08,service,positive,0
129,"Packaging neat, no damage.",mix,reviews,MH,2025-12-18,packaging,positive,0
130,No comments on packaging.,mix,support,KL,2026-02-03,packaging,neutral,0
131,"Idhu App UI smooth, easy to use.",ta,twitter,DL,2025-12-14,app,positive,0
132,Price ok for this quality.,en,youtube,MH,2025-12-28,price,positive,0
133,Replacement fast-a arrange pannanga.,mix,twitter,TN,2026-01-17,service,positive,0
134,"Courier rude, package damage aayiduchu.",en,twitter,DL,2026-01-24,delivery,negative,0
135,Quality ok. Normal usage ku podhum.,mix,youtube,KL,2026-01-09,quality,neutral,0
136,"App UI smooth, easy to use.",mix,reviews,DL,2025-11-29,app,positive,0
137,Great service 👏 1 day wait pannanum,mix,youtube,KA,2025-12-17,app,negative,1
138,"Delivery romba late, 7 days delay 😡",mix,instagram,KL,2025-12-03,delivery,negative,0
139,"Idhu Price romba high, not worth.",ta,twitter,AP,2025-12-13,price,negative,0
140,Idhu Return/refund smooth experience.,ta,instagram,AP,2026-01-27,refund,positive,0
141,"Material good, value for money.",mix,instagram,KL,2026-01-14,quality,positive,0
142,"App UI smooth, easy to use.",mix,reviews,KA,2026-01-10,app,positive,0
143,Delivery super! on-time arrived.,mix,twitter,KA,2026-02-10,delivery,positive,0
144,Idhu Payment failure repeatedly.,ta,instagram,TN,2026-02-05,app,negative,0
145,"Packing super, safe-a arrived.",en,instagram,TS,2026-01-16,packaging,positive,0
146,"Idhu Complaint raise panniten, no update.",ta,support,MH,2025-12-06,service,negative,0
147,"Support ticket raised, waiting.",mix,support,KL,2026-02-22,service,neutral,0
148,Great service 👏 1 day wait pannanum,mix,twitter,KA,2025-12-04,quality,negative,1
149,"Idhu Refund romba slow, 1 day aachu.",ta,reviews,AP,2026-02-24,refund,negative,0
150,Packaging ok.,mix,instagram,KA,2026-02-03,packaging,neutral,0
151,"Offer in super deal, super price.",en,reviews,TN,2025-12-11,price,positive,0
152,Idhu Login and checkout easy ✅,ta,twitter,KA,2025-12-17,app,positive,0
153,Idhu Refund status pending.,ta,youtube,DL,2025-12-12,refund,neutral,0
154,Great service 👏 1 day wait pannanum,ta,twitter,TS,2026-01-29,app,negative,1
155,"Idhu Support ticket raised, waiting.",ta,support,DL,2025-12-18,service,neutral,0
156,"App ok, sometimes slow.",mix,twitter,TS,2025-12-02,app,neutral,0
157,Idhu Same product elsewhere cheaper.,ta,twitter,DL,2026-02-05,price,negative,0
158,Return approve pannala.,mix,support,TN,2026-01-13,refund,negative,0
159,"Delivery ok, but pakalam.",mix,youtube,AP,2026-01-05,delivery,neutral,0
160,Well packed ✅,en,youtube,DL,2026-02-14,packaging,positive,0
161,No comments on packaging.,en,instagram,DL,2025-12-16,packaging,neutral,0
162,"Refund romba slow, no response for 24 hours aachu.",mix,twitter,MH,2026-01-08,refund,negative,0
163,Idhu Will contact support later.,ta,twitter,AP,2025-12-15,service,neutral,0
164,Idhu Quality poor. screen issue iruku.,ta,twitter,AP,2026-02-09,quality,negative,0
165,Customer service vera level. Quick response.,mix,instagram,MH,2025-12-27,service,positive,0
166,Looks fine. Long-term paakanum.,en,twitter,KA,2025-12-22,quality,neutral,0
167,Idhu Quality hate. camera blur iruku.,ta,twitter,AP,2026-02-03,quality,negative,0
168,Idhu Courier smooth-a deliver pannanga.,ta,youtube,KA,2026-02-25,delivery,positive,0
169,Same product elsewhere cheaper.,mix,reviews,KL,2026-01-31,price,negative,0
170,"Idhu Packing poor, box torn.",ta,support,MH,2025-12-28,packaging,negative,0
171,Idhu Refund came within 4 days.,ta,instagram,DL,2025-12-13,refund,positive,0
172,Idhu Quality ok. Normal usage ku podhum.,ta,twitter,DL,2025-11-29,quality,neutral,0
173,Arrived. Will test and update.,mix,twitter,AP,2025-12-18,delivery,neutral,0
174,"Compinint raise panniten, no update.",en,youtube,KA,2025-12-24,service,negative,0
175,Packaging ok.,en,instagram,TS,2026-02-17,packaging,neutral,0
176,"Idhu Material good, value for money.",ta,instagram,AP,2026-01-19,quality,positive,0
177,Refund status pending.,mix,youtube,AP,2026-02-07,refund,neutral,0
178,"Packing poor, box torn.",mix,twitter,KA,2026-01-01,packaging,negative,0
179,Idhu Price average.,ta,instagram,MH,2025-12-31,price,neutral,0
180,Super quality… 1 days la came damaged 😏,mix,support,KA,2026-01-06,price,negative,1
181,"App crash aagudhu, sound problem.",mix,youtube,MH,2026-02-07,app,negative,0
182,"Service worst, nobody answered.",en,twitter,TN,2025-12-04,service,negative,0
183,"No bubble wrap, worst packing.",en,instagram,KA,2026-01-09,packaging,negative,0
184,"Price romba high, not worth.",mix,twitter,DL,2026-02-02,price,negative,0
185,Idhu Cheap feel. Not recommended.,ta,youtube,KL,2025-12-14,quality,negative,0
186,Idhu Packaging ok.,ta,support,MH,2026-01-11,packaging,neutral,0
187,"App UI smooth, easy to use.",en,support,TN,2026-01-16,app,positive,0
188,"App UI smooth, easy to use.",mix,twitter,TS,2026-01-29,app,positive,0
189,App performance vera level.,mix,youtube,TN,2026-01-23,app,positive,0
190,Idhu Return approve pannala.,ta,twitter,TN,2025-12-03,refund,negative,0
191,Idhu 8 days la itself broke in 1 day.,ta,reviews,TS,2025-12-09,quality,negative,0
192,Wow amazing… came damaged 🙃,mix,youtube,KL,2025-12-10,delivery,negative,1
193,Costly and quality poor.,en,twitter,MH,2026-02-05,price,negative,0
194,Not sure if worth yet.,mix,reviews,TS,2025-12-17,price,neutral,0
195,No comments on packaging.,en,support,MH,2025-12-30,packaging,neutral,0
196,No comments on packaging.,en,reviews,DL,2025-12-16,packaging,neutral,0
197,Idhu Installed. Will try later.,ta,reviews,TS,2025-12-22,app,neutral,0
198,"Idhu Refund romba slow, 3 days aachu.",ta,youtube,TN,2026-01-16,refund,negative,0
199,Quality bad. sound problem iruku.,mix,youtube,AP,2025-12-20,quality,negative,0
200,Idhu Return approve pannala.,ta,support,KL,2025-12-04,refund,negative,0
201,Refund quick-a process aayiduchu ✅,en,instagram,TS,2026-02-05,refund,positive,0
202,"Support reply pannala, 2 hours wait 😤",mix,twitter,KL,2026-01-16,service,negative,0
203,Return approve pannain.,en,instagram,KA,2025-12-02,refund,negative,0
204,Quality cheap. camera blur iruku.,mix,twitter,MH,2025-12-08,quality,negative,0
205,Refund came within 9 days.,en,support,MH,2026-02-10,refund,positive,0
206,"Idhu Packaging damage, product scratch.",ta,twitter,TS,2025-12-10,packaging,negative,0
207,"Support team helpful, issue solve pannitanga.",en,reviews,MH,2026-02-08,service,positive,0
208,"Packaging damage, product scratch.",en,reviews,TS,2025-12-01,packaging,negative,0
209,Idhu Courier smooth-a deliver pannanga.,ta,youtube,KL,2026-01-05,delivery,positive,0
210,"Complaint raise panniten, no update.",mix,youtube,DL,2025-12-31,service,negative,0
211,"Support team helpful, issue solve pannitanga.",mix,support,DL,2026-01-13,service,positive,0
212,"Return initiated, waiting.",en,support,DL,2026-02-07,refund,neutral,0
213,Repincement fast-a arrange did.,en,youtube,TN,2026-02-25,service,positive,0
214,Idhu Delivery romba mosam. Tracking update illa.,ta,twitter,MH,2025-12-27,delivery,negative,0
215,First impression average.,mix,instagram,KL,2025-12-30,quality,neutral,0
216,Refund quick-a process aayiduchu ✅,en,instagram,KA,2026-02-17,refund,positive,0
217,Refund status pending.,en,twitter,DL,2026-01-26,refund,neutral,0
218,Idhu Installed. Will try later.,ta,youtube,MH,2026-01-20,app,neutral,0
219,Login and checkout easy ✅,en,support,TS,2026-01-16,app,positive,0
220,Idhu Box normal-a irundhuchu.,ta,youtube,TS,2026-01-04,packaging,neutral,0
221,Wow amazing… late delivery 🙃,ta,youtube,MH,2025-12-21,quality,negative,1
222,Refund status pending.,mix,support,DL,2026-01-17,refund,neutral,0
223,"Complaint raise panniten, no update.",mix,reviews,AP,2025-12-01,service,negative,0
224,"Refund romba slow, 3 days aachu.",mix,youtube,AP,2026-01-30,refund,negative,0
225,Idhu App performance semma.,ta,support,KL,2025-12-20,app,positive,0
226,"Refund stuck, no update.",mix,youtube,KL,2025-12-30,refund,negative,0
227,Idhu Box normal-a irundhuchu.,ta,support,TS,2025-12-06,packaging,neutral,0
228,"Idhu Service romba mosam, nobody answered.",ta,instagram,TN,2025-12-14,service,negative,0
229,Return/refund smooth experience.,en,instagram,MH,2025-12-07,refund,positive,0
230,Idhu First impression average.,ta,instagram,KA,2026-02-08,quality,neutral,0
231,"Support reply pannain, 1 day wait 😤",en,reviews,AP,2026-01-27,service,negative,0
232,Idhu Quality nalla! build strong 💯,ta,support,DL,2025-12-21,quality,positive,0
233,"Idhu Delivery ok, but pakalam.",ta,support,AP,2026-02-10,delivery,neutral,0
234,"App crash aagudhu, camera blur.",mix,support,TS,2026-02-02,app,negative,0
235,Worth for money ✅,mix,reviews,DL,2025-11-29,price,positive,0
236,Costly and quality poor.,mix,youtube,TN,2026-02-18,price,negative,0
237,"Idhu Fast delivery, 1 days la vandhuduchu ✅",ta,twitter,MH,2026-02-18,delivery,positive,0
238,No comments on packaging.,en,reviews,KL,2026-02-24,packaging,neutral,0
239,Box normal-a irundhuchu.,mix,support,KL,2026-02-12,packaging,neutral,0
240,Delivery worst. Tracking update illa.,mix,twitter,DL,2026-01-29,delivery,negative,0
241,"Support team helpful, issue solve pannitanga.",mix,instagram,KL,2025-12-02,service,positive,0
242,Courier smooth-a deliver pannanga.,mix,twitter,TN,2025-12-11,delivery,positive,0
243,"App ok, sometimes slow.",mix,youtube,TN,2026-02-17,app,neutral,0
244,Great service 👏 3 days wait pannanum,mix,twitter,KA,2026-01-03,refund,negative,1
245,Wow amazing… stopped working 🙃,mix,twitter,DL,2025-11-28,delivery,negative,1
246,"Service worst, nobody answered.",mix,youtube,TS,2025-12-08,service,negative,0
247,Great service 👏 2 hours wait pannanum,en,reviews,DL,2026-02-23,quality,negative,1
248,Wow amazing… missing parts 🙃,ta,twitter,MH,2025-12-17,price,negative,1
249,Idhu Return approve pannala.,ta,reviews,TS,2025-12-20,refund,negative,0
250,"Compinint raise panniten, no update.",en,reviews,TN,2026-01-22,service,negative,0
251,"Idhu Refund romba slow, no response for 24 hours aachu.",ta,support,MH,2026-02-08,refund,negative,0
252,"Support reply pannala, 1 hour wait 😤",mix,instagram,MH,2026-01-27,service,negative,0
253,"Idhu Bug romba, romba mosam experience.",ta,support,KA,2026-01-26,app,negative,0
254,9 days la itself broke in 1 day.,mix,support,TN,2025-12-25,quality,negative,0
255,"Refund romba slow, 1 hour aachu.",mix,reviews,TS,2025-12-08,refund,negative,0
256,Will contact support inter.,en,twitter,AP,2026-02-06,service,neutral,0
257,"No bubble wrap, worst packing.",mix,reviews,KA,2026-01-09,packaging,negative,0
258,Idhu No comments on packaging.,ta,youtube,AP,2026-01-23,packaging,neutral,0
259,Idhu Refund came within 6 days.,ta,support,KL,2026-02-01,refund,positive,0
260,Great service 👏 2 hours wait pannanum,en,reviews,MH,2025-12-10,app,negative,1
261,Courier smooth-a deliver pannanga.,mix,reviews,DL,2025-12-24,delivery,positive,0
262,Requested refund today.,mix,support,MH,2025-12-12,refund,neutral,0
263,Great service 👏 2 hours wait pannanum,en,reviews,TS,2026-02-09,delivery,negative,1
264,"Price ok, but features compare pannitu paakanum.",mix,instagram,MH,2025-12-10,price,neutral,0
265,"Idhu Complaint raise panniten, no update.",ta,youtube,KL,2026-01-23,service,negative,0
266,Well packed ✅,mix,youtube,DL,2026-02-05,packaging,positive,0
267,Costly and quality poor.,en,instagram,MH,2026-01-30,price,negative,0
268,Idhu Packaging ok.,ta,reviews,MH,2026-02-21,packaging,neutral,0
269,"Support team helpful, issue solve pannitanga.",mix,twitter,KA,2026-02-20,service,positive,0
270,Idhu Requested refund today.,ta,youtube,TN,2025-12-23,refund,neutral,0
271,"Bug romba, worst experience.",mix,instagram,TS,2026-02-17,app,negative,0
272,"Support reply pannain, 3 days wait 😤",en,youtube,AP,2026-02-05,service,negative,0
273,Payment failure repeatedly.,mix,youtube,MH,2026-02-10,app,negative,0
274,"Courier rude, package damage aayiduchu.",en,instagram,KA,2026-01-31,delivery,negative,0
275,"Price romba high, not worth.",mix,support,KA,2025-12-29,price,negative,0
276,Quality hate. overheating iruku.,mix,twitter,TS,2026-02-15,quality,negative,0
277,Idhu Requested refund today.,ta,youtube,MH,2026-02-02,refund,neutral,0
278,"Packing poor, box torn.",mix,twitter,AP,2026-01-10,packaging,negative,0
279,"Refund romba slow, 3 days aachu.",mix,support,TS,2026-01-26,refund,negative,0
280,Idhu UI average.,ta,support,TS,2025-12-28,app,neutral,0
281,"Idhu Bug romba, romba mosam experience.",ta,twitter,KL,2026-02-01,app,negative,0
282,Packaging ok.,mix,twitter,TN,2025-12-18,packaging,neutral,0
283,"Price very high, not worth.",en,reviews,TS,2026-02-17,price,negative,0
284,"Idhu Delivery ok, but pakalam.",ta,instagram,TN,2025-12-29,delivery,neutral,0
285,"Idhu App crash aagudhu, overheating.",ta,reviews,AP,2026-01-06,app,negative,0
286,Refund quick-a process aayiduchu ✅,mix,support,MH,2025-12-02,refund,positive,0
287,Quality hate. battery drain iruku.,en,reviews,DL,2026-01-14,quality,negative,0
288,"Idhu App ok, sometimes slow.",ta,support,AP,2026-01-03,app,neutral,0
289,"Fast delivery, 10 days in arrived ✅",en,twitter,TN,2026-02-08,delivery,positive,0
290,"Support team helpful, issue solve pannitanga.",en,support,MH,2025-12-15,service,positive,0
291,Idhu Price average.,ta,support,MH,2025-12-03,price,neutral,0
292,Same product elsewhere cheaper.,en,support,MH,2026-01-28,price,negative,0
293,Packaging ok.,mix,instagram,TN,2026-01-06,packaging,neutral,0
294,No comments on packaging.,mix,youtube,TS,2026-01-06,packaging,neutral,0
295,"Bug romba, worst experience.",mix,reviews,MH,2026-01-01,app,negative,0
296,Wow amazing… stopped working 🙃,mix,reviews,KL,2026-02-05,refund,negative,1
297,"Refund stuck, no update.",en,instagram,KL,2026-02-03,refund,negative,0
298,Payment failure repeatedly.,mix,support,TN,2026-02-09,app,negative,0
299,Great service 👏 no response for 24 hours wait pannanum,ta,instagram,MH,2026-01-12,service,negative,1
300,Not sure if worth yet.,mix,support,AP,2026-01-31,price,neutral,0
301,Idhu Payment failure repeatedly.,ta,support,KA,2025-12-14,app,negative,0
302,"Idhu App ok, sometimes slow.",ta,youtube,AP,2025-12-02,app,neutral,0
303,Idhu Delivery romba mosam. Tracking update illa.,ta,instagram,MH,2026-02-01,delivery,negative,0
304,Cheap feel. Not recommended.,mix,support,TN,2026-02-16,quality,negative,0
305,"Bug romba, worst experience.",mix,twitter,DL,2026-02-01,app,negative,0
306,Replacement fast-a arrange pannanga.,mix,reviews,DL,2026-02-12,service,positive,0
307,"Bug very, worst experience.",en,instagram,KL,2025-12-16,app,negative,0
308,Idhu Refund quick-a process aayiduchu ✅,ta,twitter,KL,2026-01-27,refund,positive,0
309,Super quality… 9 days la stopped working 😏,mix,instagram,TN,2026-02-08,price,negative,1
310,Delivery worst. Tracking update ilin.,en,instagram,TS,2025-12-04,delivery,negative,0
311,Installed. Will try later.,mix,youtube,TN,2025-12-07,app,neutral,0
312,Idhu No comments on packaging.,ta,support,KA,2025-12-20,packaging,neutral,0
313,No comments on packaging.,en,instagram,TN,2026-01-14,packaging,neutral,0
314,Login and checkout easy ✅,en,instagram,AP,2026-02-12,app,positive,0
315,"Packaging damage, product scratch.",mix,twitter,DL,2025-12-08,packaging,negative,0
316,"Material good, value for money.",en,twitter,DL,2026-02-24,quality,positive,0
317,Refund status pending.,mix,support,MH,2025-12-09,refund,neutral,0
318,Idhu Well packed ✅,ta,reviews,TS,2025-12-29,packaging,positive,0
319,Idhu Delivery romba mosam. Tracking update illa.,ta,instagram,AP,2026-02-23,delivery,negative,0
320,"Idhu Packaging damage, product scratch.",ta,youtube,KL,2026-02-03,packaging,negative,0
321,Box normal-a irundhuchu.,mix,support,DL,2026-01-27,packaging,neutral,0
322,Idhu Refund quick-a process aayiduchu ✅,ta,reviews,MH,2025-12-14,refund,positive,0
323,"Packing super, safe-a vandhuduchu.",mix,youtube,AP,2026-02-05,packaging,positive,0
324,"Support reply pannala, no response for 24 hours wait 😤",mix,reviews,TS,2025-12-08,service,negative,0
325,"App ok, sometimes slow.",mix,reviews,AP,2026-02-13,app,neutral,0
326,Idhu Same product elsewhere cheaper.,ta,support,DL,2026-01-02,price,negative,0
327,Idhu Worth for money ✅,ta,twitter,MH,2025-12-17,price,positive,0
328,"Price ok, but features compare pannitu paakanum.",mix,twitter,TS,2026-02-25,price,neutral,0
329,"Idhu Product worth, satisfied.",ta,youtube,DL,2025-12-25,quality,positive,0
330,Idhu Same product elsewhere cheaper.,ta,support,AP,2025-12-10,price,negative,0
331,"Idhu No bubble wrap, romba mosam packing.",ta,support,DL,2025-12-29,packaging,negative,0
332,"Service worst, nobody answered.",en,twitter,TS,2026-01-27,service,negative,0
333,Replacement fast-a arrange pannanga.,mix,support,KL,2026-02-03,service,positive,0
334,Idhu Payment failure repeatedly.,ta,youtube,DL,2025-12-06,app,negative,0
335,Idhu Quality worth! build strong 💯,ta,instagram,KA,2026-01-29,quality,positive,0
336,Idhu Refund quick-a process aayiduchu ✅,ta,support,KA,2026-01-11,refund,positive,0
