id,text,language,platform,region,date,aspect,sentiment,sarcasm,clean_text,detected_lang
32,"Packing super, safe-a arrived.",en,twitter,KL,2026-01-15,packaging,positive,0,"packing super, safe-a arrived.",en
33,Delivery super! on-time arrived.,mix,youtube,AP,2026-01-09,delivery,positive,0,delivery super! on-time arrived.,en
34,No comments on packaging.,en,twitter,TN,2025-12-01,packaging,neutral,0,no comments on packaging.,en
35,"Packaging neat, no damage.",en,youtube,KA,2026-02-13,packaging,positive,0,"packaging neat, no damage.",tl
36,"No bubble wrap, worst packing.",mix,support,DL,2026-02-03,packaging,negative,0,"no bubble wrap, worst packing.",en
37,"Idhu Product received today, open pannala.",ta,support,AP,2026-01-05,delivery,neutral,0,"idhu product received today, open pannala.",en
38,Login and checkout easy ✅,mix,support,TN,2026-01-27,app,positive,0,login and checkout easy ✅,en
39,"Bug romba, worst experience.",mix,instagram,TN,2025-11-29,app,negative,0,"bug romba, worst experience.",en
40,"No bubble wrap, worst packing.",mix,support,DL,2026-01-26,packaging,negative,0,"no bubble wrap, worst packing.",en
41,"Service worst, nobody answered.",mix,instagram,KL,2026-01-24,service,negative,0,"service worst, nobody answered.",en
42,Same product elsewhere cheaper.,mix,youtube,KA,2026-02-06,price,negative,0,same product elsewhere cheaper.,en
43,Customer service semma. Quick response.,mix,support,KL,2026-01-01,service,positive,0,customer service semma. quick response.,fr
44,"Courier rude, package damage aayiduchu.",en,twitter,KL,2026-01-10,delivery,negative,0,"courier rude, package damage aayiduchu.",fr
45,Wow amazing… late delivery 🙃,mix,youtube,MH,2025-12-14,packaging,negative,1,wow amazing… late delivery 🙃,en
46,Super quality… 2 days la stopped working 😏,en,support,TN,2025-12-25,price,negative,1,super quality… 2 days la stopped working 😏,en
47,"Compinint raise panniten, no update.",en,reviews,KL,2025-12-09,service,negative,0,"compinint raise panniten, no update.",fr
48,Idhu Costly and quality poor.,ta,youtube,DL,2026-01-07,price,negative,0,idhu costly and quality poor.,en
49,Great service 👏 1 hour wait pannanum,mix,twitter,MH,2025-12-19,app,negative,1,great service 👏 1 hour wait pannanum,en
50,Idhu Return approve pannala.,ta,instagram,AP,2026-01-03,refund,negative,0,idhu return approve pannala.,it
51,8 days la itself stopped working.,mix,support,AP,2026-02-02,quality,negative,0,8 days la itself stopped working.,af
52,Idhu Worth for money ✅,ta,reviews,MH,2026-02-17,price,positive,0,idhu worth for money ✅,en
53,"Idhu Bug romba, romba mosam experience.",ta,instagram,DL,2025-12-19,app,negative,0,"idhu bug romba, romba mosam experience.",es
54,"App crash aagudhu, screen issue.",en,instagram,TN,2025-12-14,app,negative,0,"app crash aagudhu, screen issue.",en
55,"Idhu Support reply pannala, 2 hours wait 😤",ta,youtube,DL,2026-01-08,service,negative,0,"idhu support reply pannala, 2 hours wait 😤",en
56,Installed. Will try later.,mix,reviews,TN,2026-01-05,app,neutral,0,installed. will try later.,en
57,Box normal-a irundhuchu.,en,instagram,KA,2025-12-14,packaging,neutral,0,box normal-a irundhuchu.,en
58,Login and checkout easy ✅,mix,reviews,TS,2026-02-03,app,positive,0,login and checkout easy ✅,en
59,Idhu 1 days la itself came damaged.,ta,support,TN,2025-12-11,quality,negative,0,idhu 1 days la itself came damaged.,so
60,Arrived. Will test and update.,mix,instagram,MH,2026-02-09,delivery,neutral,0,arrived. will test and update.,en
61,Idhu Customer care number busy.,ta,support,AP,2025-12-04,service,neutral,0,idhu customer care number busy.,en
62,"Idhu Refund romba slow, no response for 24 hours aachu.",ta,instagram,TN,2026-02-09,refund,negative,0,"idhu refund romba slow, no response for 24 hours aachu.",en
63,"Delivery ok, but pakainm.",en,twitter,AP,2026-01-02,delivery,neutral,0,"delivery ok, but pakainm.",id
64,"Idhu Service romba mosam, nobody answered.",ta,reviews,DL,2026-01-14,service,negative,0,"idhu service romba mosam, nobody answered.",en
65,Wow amazing… came damaged 🙃,ta,instagram,KA,2025-11-27,packaging,negative,1,wow amazing… came damaged 🙃,en
66,Replacement fast-a arrange pannanga.,mix,reviews,TS,2025-12-26,service,positive,0,replacement fast-a arrange pannanga.,fr
67,"Refund stuck, no update.",mix,twitter,TN,2026-02-19,refund,negative,0,"refund stuck, no update.",ro
68,Idhu Delivery romba mosam. Tracking update illa.,ta,support,AP,2026-02-21,delivery,negative,0,idhu delivery romba mosam. tracking update illa.,sv
69,Costly and quality poor.,mix,twitter,DL,2025-12-14,price,negative,0,costly and quality poor.,en
70,Great service 👏 no response for 24 hours wait pannanum,mix,youtube,DL,2025-12-27,packaging,negative,1,great service 👏 no response for 24 hours wait pannanum,en
71,"Service worst, nobody answered.",mix,youtube,KL,2025-12-04,service,negative,0,"service worst, nobody answered.",en
72,"Idhu App crash aagudhu, battery drain.",ta,reviews,MH,2026-02-02,app,negative,0,"idhu app crash aagudhu, battery drain.",en
73,Refund status pending.,en,reviews,TS,2025-12-27,refund,neutral,0,refund status pending.,af
74,"Idhu Service romba mosam, nobody answered.",ta,support,TS,2025-12-14,service,negative,0,"idhu service romba mosam, nobody answered.",en
75,"Return initiated, waiting.",en,twitter,KL,2026-02-03,refund,neutral,0,"return initiated, waiting.",en
76,Refund quick-a process aayiduchu ✅,en,instagram,TN,2026-02-10,refund,positive,0,refund quick-a process aayiduchu ✅,en
77,Price ok for this quality.,en,twitter,KA,2026-01-27,price,positive,0,price ok for this quality.,en
78,Customer service vera level. Quick response.,mix,support,AP,2026-02-18,service,positive,0,customer service vera level. quick response.,it
79,"Delivery romba late, 4 days delay 😡",mix,reviews,DL,2026-01-06,delivery,negative,0,"delivery romba late, 4 days delay 😡",es
80,"Idhu App UI smooth, easy to use.",ta,twitter,KA,2025-12-30,app,positive,0,"idhu app ui smooth, easy to use.",en
81,"Support team helpful, issue solve pannitanga.",mix,instagram,TS,2026-01-29,service,positive,0,"support team helpful, issue solve pannitanga.",en
82,Wow amazing… late delivery 🙃,mix,youtube,DL,2025-12-18,app,negative,1,wow amazing… late delivery 🙃,en
83,"No bubble wrap, worst packing.",mix,twitter,MH,2026-02-02,packaging,negative,0,"no bubble wrap, worst packing.",en
84,Price ok for this quality.,mix,instagram,TN,2025-11-28,price,positive,0,price ok for this quality.,en
85,Payment failure repeatedly.,mix,twitter,AP,2025-11-27,app,negative,0,payment failure repeatedly.,en
86,Idhu Quality mass! build strong 💯,ta,support,TN,2026-02-24,quality,positive,0,idhu quality mass! build strong 💯,en
87,Price ok for this quality.,mix,support,TS,2025-12-29,price,positive,0,price ok for this quality.,en
88,Super quality… 2 days la broke in 1 day 😏,mix,instagram,KA,2026-01-04,packaging,negative,1,super quality… 2 days la broke in 1 day 😏,en
89,Customer care number busy.,mix,reviews,AP,2026-02-05,service,neutral,0,customer care number busy.,en
90,Idhu Return approve pannala.,ta,youtube,AP,2026-02-07,refund,negative,0,idhu return approve pannala.,it
91,Arrived. Will test and update.,mix,youtube,TN,2026-02-04,delivery,neutral,0,arrived. will test and update.,en
92,Same product elsewhere cheaper.,mix,reviews,DL,2025-12-06,price,negative,0,same product elsewhere cheaper.,en
93,"Support reply pannala, 2 hours wait 😤",mix,instagram,DL,2026-02-23,service,negative,0,"support reply pannala, 2 hours wait 😤",en
94,Idhu Looks fine. Long-term paakanum.,ta,support,TS,2026-02-11,quality,neutral,0,idhu looks fine. long-term paakanum.,et
95,"Price romba high, not worth.",mix,support,KL,2026-01-14,price,negative,0,"price romba high, not worth.",en
96,App performance nice.,mix,twitter,TN,2025-12-31,app,positive,0,app performance nice.,ro
97,"Delivery very inte, 8 days deiny 😡",en,twitter,TN,2026-01-05,delivery,negative,0,"delivery very inte, 8 days deiny 😡",af
98,Idhu Will contact support later.,ta,support,AP,2026-02-06,service,neutral,0,idhu will contact support later.,en
99,Delivery worst. Tracking update ilin.,en,support,TS,2026-01-07,delivery,negative,0,delivery worst. tracking update ilin.,en
100,"Packaging neat, no damage.",en,support,KA,2026-02-01,packaging,positive,0,"packaging neat, no damage.",tl
101,Customer care number busy.,en,twitter,KA,2025-12-18,service,neutral,0,customer care number busy.,en
102,Quality hate. screen issue iruku.,en,reviews,KA,2026-02-11,quality,negative,0,quality hate. screen issue iruku.,en
103,Idhu Customer service excellent. Quick response.,ta,support,KL,2026-01-14,service,positive,0,idhu customer service excellent. quick response.,fr
104,"Material good, value for money.",mix,instagram,TS,2026-01-27,quality,positive,0,"material good, value for money.",en
105,Requested refund today.,mix,youtube,KA,2026-01-14,refund,neutral,0,requested refund today.,en
106,Well packed ✅,mix,support,KA,2025-11-30,packaging,positive,0,well packed ✅,en
107,Great service 👏 3 days wait pannanum,mix,youtube,KA,2025-12-27,service,negative,1,great service 👏 3 days wait pannanum,en
108,Courier smooth-a deliver did.,en,support,AP,2026-01-27,delivery,positive,0,courier smooth-a deliver did.,en
109,"Refund stuck, no update.",en,support,TS,2026-02-16,refund,negative,0,"refund stuck, no update.",ro
110,Box normal-a irundhuchu.,mix,support,TN,2026-02-17,packaging,neutral,0,box normal-a irundhuchu.,en
111,Worth for money ✅,mix,support,TS,2026-02-06,price,positive,0,worth for money ✅,en
112,"Idhu Packing poor, box torn.",ta,support,MH,2025-12-16,packaging,negative,0,"idhu packing poor, box torn.",en
113,"Courier rude, package damage aayiduchu.",en,instagram,DL,2026-01-10,delivery,negative,0,"courier rude, package damage aayiduchu.",fr
114,Great service 👏 1 hour wait pannanum,mix,reviews,TN,2026-02-24,service,negative,1,great service 👏 1 hour wait pannanum,en
115,"Delivery romba late, 6 days delay 😡",mix,twitter,DL,2025-11-29,delivery,negative,0,"delivery romba late, 6 days delay 😡",es
116,Well packed ✅,mix,youtube,KA,2026-02-06,packaging,positive,0,well packed ✅,en
117,"App crash aagudhu, overheating.",mix,reviews,AP,2025-11-30,app,negative,0,"app crash aagudhu, overheating.",en
118,Installed. Will try later.,mix,instagram,KA,2026-01-01,app,neutral,0,installed. will try later.,en
119,"Courier rude, package damage aayiduchu.",mix,reviews,KL,2026-02-02,delivery,negative,0,"courier rude, package damage aayiduchu.",fr
120,Return approve pannala.,mix,support,AP,2025-12-19,refund,negative,0,return approve pannala.,it
121,"Delivery ok, but pakalam.",mix,youtube,KA,2026-02-23,delivery,neutral,0,"delivery ok, but pakalam.",id
122,"Support reply pannala, 2 hours wait 😤",mix,reviews,KA,2026-02-16,service,negative,0,"support reply pannala, 2 hours wait 😤",en
123,Looks fine. Long-term paakanum.,en,reviews,DL,2026-02-14,quality,neutral,0,looks fine. long-term paakanum.,et
124,"No bubble wrap, worst packing.",mix,reviews,TS,2026-01-18,packaging,negative,0,"no bubble wrap, worst packing.",en
125,Wow amazing… came damaged 🙃,mix,instagram,DL,2026-01-03,delivery,negative,1,wow amazing… came damaged 🙃,en
126,Idhu Cheap feel. Not recommended.,ta,reviews,KA,2026-02-07,quality,negative,0,idhu cheap feel. not recommended.,en
127,Refund quick-a process aayiduchu ✅,en,twitter,DL,2026-01-22,refund,positive,0,refund quick-a process aayiduchu ✅,en
128,Replacement fast-a arrange pannanga.,mix,youtube,KL,2025-12-08,service,positive,0,replacement fast-a arrange pannanga.,fr
129,"Packaging neat, no damage.",mix,reviews,MH,2025-12-18,packaging,positive,0,"packaging neat, no damage.",tl
130,No comments on packaging.,mix,support,KL,2026-02-03,packaging,neutral,0,no comments on packaging.,en
131,"Idhu App UI smooth, easy to use.",ta,twitter,DL,2025-12-14,app,positive,0,"idhu app ui smooth, easy to use.",en
132,Price ok for this quality.,en,youtube,MH,2025-12-28,price,positive,0,price ok for this quality.,en
133,Replacement fast-a arrange pannanga.,mix,twitter,TN,2026-01-17,service,positive,0,replacement fast-a arrange pannanga.,fr
134,"Courier rude, package damage aayiduchu.",en,twitter,DL,2026-01-24,delivery,negative,0,"courier rude, package damage aayiduchu.",fr
135,Quality ok. Normal usage ku podhum.,mix,youtube,KL,2026-01-09,quality,neutral,0,quality ok. normal usage ku podhum.,pt
136,"App UI smooth, easy to use.",mix,reviews,DL,2025-11-29,app,positive,0,"app ui smooth, easy to use.",en
137,Great service 👏 1 day wait pannanum,mix,youtube,KA,2025-12-17,app,negative,1,great service 👏 1 day wait pannanum,en
138,"Delivery romba late, 7 days delay 😡",mix,instagram,KL,2025-12-03,delivery,negative,0,"delivery romba late, 7 days delay 😡",es
139,"Idhu Price romba high, not worth.",ta,twitter,AP,2025-12-13,price,negative,0,"idhu price romba high, not worth.",en
140,Idhu Return/refund smooth experience.,ta,instagram,AP,2026-01-27,refund,positive,0,idhu return/refund smooth experience.,en
141,"Material good, value for money.",mix,instagram,KL,2026-01-14,quality,positive,0,"material good, value for money.",en
142,"App UI smooth, easy to use.",mix,reviews,KA,2026-01-10,app,positive,0,"app ui smooth, easy to use.",en
143,Delivery super! on-time arrived.,mix,twitter,KA,2026-02-10,delivery,positive,0,delivery super! on-time arrived.,en
144,Idhu Payment failure repeatedly.,ta,instagram,TN,2026-02-05,app,negative,0,idhu payment failure repeatedly.,en
145,"Packing super, safe-a arrived.",en,instagram,TS,2026-01-16,packaging,positive,0,"packing super, safe-a arrived.",en
146,"Idhu Complaint raise panniten, no update.",ta,support,MH,2025-12-06,service,negative,0,"idhu complaint raise panniten, no update.",fr
147,"Support ticket raised, waiting.",mix,support,KL,2026-02-22,service,neutral,0,"support ticket raised, waiting.",en
148,Great service 👏 1 day wait pannanum,mix,twitter,KA,2025-12-04,quality,negative,1,great service 👏 1 day wait pannanum,en
149,"Idhu Refund romba slow, 1 day aachu.",ta,reviews,AP,2026-02-24,refund,negative,0,"idhu refund romba slow, 1 day aachu.",so
150,Packaging ok.,mix,instagram,KA,2026-02-03,packaging,neutral,0,packaging ok.,tl
151,"Offer in super deal, super price.",en,reviews,TN,2025-12-11,price,positive,0,"offer in super deal, super price.",en
152,Idhu Login and checkout easy ✅,ta,twitter,KA,2025-12-17,app,positive,0,idhu login and checkout easy ✅,en
153,Idhu Refund status pending.,ta,youtube,DL,2025-12-12,refund,neutral,0,idhu refund status pending.,et
154,Great service 👏 1 day wait pannanum,ta,twitter,TS,2026-01-29,app,negative,1,great service 👏 1 day wait pannanum,en
155,"Idhu Support ticket raised, waiting.",ta,support,DL,2025-12-18,service,neutral,0,"idhu support ticket raised, waiting.",en
156,"App ok, sometimes slow.",mix,twitter,TS,2025-12-02,app,neutral,0,"app ok, sometimes slow.",en
157,Idhu Same product elsewhere cheaper.,ta,twitter,DL,2026-02-05,price,negative,0,idhu same product elsewhere cheaper.,en
158,Return approve pannala.,mix,support,TN,2026-01-13,refund,negative,0,return approve pannala.,it
159,"Delivery ok, but pakalam.",mix,youtube,AP,2026-01-05,delivery,neutral,0,"delivery ok, but pakalam.",id
160,Well packed ✅,en,youtube,DL,2026-02-14,packaging,positive,0,well packed ✅,en
161,No comments on packaging.,en,instagram,DL,2025-12-16,packaging,neutral,0,no comments on packaging.,en
162,"Refund romba slow, no response for 24 hours aachu.",mix,twitter,MH,2026-01-08,refund,negative,0,"refund romba slow, no response for 24 hours aachu.",en
163,Idhu Will contact support later.,ta,twitter,AP,2025-12-15,service,neutral,0,idhu will contact support later.,en
164,Idhu Quality poor. screen issue iruku.,ta,twitter,AP,2026-02-09,quality,negative,0,idhu quality poor. screen issue iruku.,en
165,Customer service vera level. Quick response.,mix,instagram,MH,2025-12-27,service,positive,0,customer service vera level. quick response.,es
166,Looks fine. Long-term paakanum.,en,twitter,KA,2025-12-22,quality,neutral,0,looks fine. long-term paakanum.,et
167,Idhu Quality hate. camera blur iruku.,ta,twitter,AP,2026-02-03,quality,negative,0,idhu quality hate. camera blur iruku.,sq
168,Idhu Courier smooth-a deliver pannanga.,ta,youtube,KA,2026-02-25,delivery,positive,0,idhu courier smooth-a deliver pannanga.,en
169,Same product elsewhere cheaper.,mix,reviews,KL,2026-01-31,price,negative,0,same product elsewhere cheaper.,en
170,"Idhu Packing poor, box torn.",ta,support,MH,2025-12-28,packaging,negative,0,"idhu packing poor, box torn.",en
171,Idhu Refund came within 4 days.,ta,instagram,DL,2025-12-13,refund,positive,0,idhu refund came within 4 days.,en
172,Idhu Quality ok. Normal usage ku podhum.,ta,twitter,DL,2025-11-29,quality,neutral,0,idhu quality ok. normal usage ku podhum.,sq
173,Arrived. Will test and update.,mix,twitter,AP,2025-12-18,delivery,neutral,0,arrived. will test and update.,en
174,"Compinint raise panniten, no update.",en,youtube,KA,2025-12-24,service,negative,0,"compinint raise panniten, no update.",fr
175,Packaging ok.,en,instagram,TS,2026-02-17,packaging,neutral,0,packaging ok.,tl
176,"Idhu Material good, value for money.",ta,instagram,AP,2026-01-19,quality,positive,0,"idhu material good, value for money.",en
177,Refund status pending.,mix,youtube,AP,2026-02-07,refund,neutral,0,refund status pending.,da
178,"Packing poor, box torn.",mix,twitter,KA,2026-01-01,packaging,negative,0,"packing poor, box torn.",en
179,Idhu Price average.,ta,instagram,MH,2025-12-31,price,neutral,0,idhu price average.,fr
180,Super quality… 1 days la came damaged 😏,mix,support,KA,2026-01-06,price,negative,1,super quality… 1 days la came damaged 😏,ca
181,"App crash aagudhu, sound problem.",mix,youtube,MH,2026-02-07,app,negative,0,"app crash aagudhu, sound problem.",en
182,"Service worst, nobody answered.",en,twitter,TN,2025-12-04,service,negative,0,"service worst, nobody answered.",en
183,"No bubble wrap, worst packing.",en,instagram,KA,2026-01-09,packaging,negative,0,"no bubble wrap, worst packing.",en
184,"Price romba high, not worth.",mix,twitter,DL,2026-02-02,price,negative,0,"price romba high, not worth.",en
185,Idhu Cheap feel. Not recommended.,ta,youtube,KL,2025-12-14,quality,negative,0,idhu cheap feel. not recommended.,en
186,Idhu Packaging ok.,ta,support,MH,2026-01-11,packaging,neutral,0,idhu packaging ok.,tl
187,"App UI smooth, easy to use.",en,support,TN,2026-01-16,app,positive,0,"app ui smooth, easy to use.",en
188,"App UI smooth, easy to use.",mix,twitter,TS,2026-01-29,app,positive,0,"app ui smooth, easy to use.",en
189,App performance vera level.,mix,youtube,TN,2026-01-23,app,positive,0,app performance vera level.,it
190,Idhu Return approve pannala.,ta,twitter,TN,2025-12-03,refund,negative,0,idhu return approve pannala.,it
191,Idhu 8 days la itself broke in 1 day.,ta,reviews,TS,2025-12-09,quality,negative,0,idhu 8 days la itself broke in 1 day.,so
192,Wow amazing… came damaged 🙃,mix,youtube,KL,2025-12-10,delivery,negative,1,wow amazing… came damaged 🙃,en
193,Costly and quality poor.,en,twitter,MH,2026-02-05,price,negative,0,costly and quality poor.,en
194,Not sure if worth yet.,mix,reviews,TS,2025-12-17,price,neutral,0,not sure if worth yet.,en
195,No comments on packaging.,en,support,MH,2025-12-30,packaging,neutral,0,no comments on packaging.,en
196,No comments on packaging.,en,reviews,DL,2025-12-16,packaging,neutral,0,no comments on packaging.,tl
197,Idhu Installed. Will try later.,ta,reviews,TS,2025-12-22,app,neutral,0,idhu installed. will try later.,en
198,"Idhu Refund romba slow, 3 days aachu.",ta,youtube,TN,2026-01-16,refund,negative,0,"idhu refund romba slow, 3 days aachu.",so
199,Quality bad. sound problem iruku.,mix,youtube,AP,2025-12-20,quality,negative,0,quality bad. sound problem iruku.,en
200,Idhu Return approve pannala.,ta,support,KL,2025-12-04,refund,negative,0,idhu return approve pannala.,it
201,Refund quick-a process aayiduchu ✅,en,instagram,TS,2026-02-05,refund,positive,0,refund quick-a process aayiduchu ✅,en
202,"Support reply pannala, 2 hours wait 😤",mix,twitter,KL,2026-01-16,service,negative,0,"support reply pannala, 2 hours wait 😤",en
203,Return approve pannain.,en,instagram,KA,2025-12-02,refund,negative,0,return approve pannain.,fr
204,Quality cheap. camera blur iruku.,mix,twitter,MH,2025-12-08,quality,negative,0,quality cheap. camera blur iruku.,en
205,Refund came within 9 days.,en,support,MH,2026-02-10,refund,positive,0,refund came within 9 days.,en
206,"Idhu Packaging damage, product scratch.",ta,twitter,TS,2025-12-10,packaging,negative,0,"idhu packaging damage, product scratch.",en
207,"Support team helpful, issue solve pannitanga.",en,reviews,MH,2026-02-08,service,positive,0,"support team helpful, issue solve pannitanga.",en
208,"Packaging damage, product scratch.",en,reviews,TS,2025-12-01,packaging,negative,0,"packaging damage, product scratch.",en
209,Idhu Courier smooth-a deliver pannanga.,ta,youtube,KL,2026-01-05,delivery,positive,0,idhu courier smooth-a deliver pannanga.,en
210,"Complaint raise panniten, no update.",mix,youtube,DL,2025-12-31,service,negative,0,"complaint raise panniten, no update.",fr
211,"Support team helpful, issue solve pannitanga.",mix,support,DL,2026-01-13,service,positive,0,"support team helpful, issue solve pannitanga.",en
212,"Return initiated, waiting.",en,support,DL,2026-02-07,refund,neutral,0,"return initiated, waiting.",en
213,Repincement fast-a arrange did.,en,youtube,TN,2026-02-25,service,positive,0,repincement fast-a arrange did.,en
214,Idhu Delivery romba mosam. Tracking update illa.,ta,twitter,MH,2025-12-27,delivery,negative,0,idhu delivery romba mosam. tracking update illa.,sv
215,First impression average.,mix,instagram,KL,2025-12-30,quality,neutral,0,first impression average.,en
216,Refund quick-a process aayiduchu ✅,en,instagram,KA,2026-02-17,refund,positive,0,refund quick-a process aayiduchu ✅,en
217,Refund status pending.,en,twitter,DL,2026-01-26,refund,neutral,0,refund status pending.,da
218,Idhu Installed. Will try later.,ta,youtube,MH,2026-01-20,app,neutral,0,idhu installed. will try later.,en
219,Login and checkout easy ✅,en,support,TS,2026-01-16,app,positive,0,login and checkout easy ✅,en
220,Idhu Box normal-a irundhuchu.,ta,youtube,TS,2026-01-04,packaging,neutral,0,idhu box normal-a irundhuchu.,so
221,Wow amazing… late delivery 🙃,ta,youtube,MH,2025-12-21,quality,negative,1,wow amazing… late delivery 🙃,en
222,Refund status pending.,mix,support,DL,2026-01-17,refund,neutral,0,refund status pending.,en
223,"Complaint raise panniten, no update.",mix,reviews,AP,2025-12-01,service,negative,0,"complaint raise panniten, no update.",fr
224,"Refund romba slow, 3 days aachu.",mix,youtube,AP,2026-01-30,refund,negative,0,"refund romba slow, 3 days aachu.",so
225,Idhu App performance semma.,ta,support,KL,2025-12-20,app,positive,0,idhu app performance semma.,it
226,"Refund stuck, no update.",mix,youtube,KL,2025-12-30,refund,negative,0,"refund stuck, no update.",ro
227,Idhu Box normal-a irundhuchu.,ta,support,TS,2025-12-06,packaging,neutral,0,idhu box normal-a irundhuchu.,so
228,"Idhu Service romba mosam, nobody answered.",ta,instagram,TN,2025-12-14,service,negative,0,"idhu service romba mosam, nobody answered.",en
229,Return/refund smooth experience.,en,instagram,MH,2025-12-07,refund,positive,0,return/refund smooth experience.,en
230,Idhu First impression average.,ta,instagram,KA,2026-02-08,quality,neutral,0,idhu first impression average.,en
231,"Support reply pannain, 1 day wait 😤",en,reviews,AP,2026-01-27,service,negative,0,"support reply pannain, 1 day wait 😤",en
232,Idhu Quality nalla! build strong 💯,ta,support,DL,2025-12-21,quality,positive,0,idhu quality nalla! build strong 💯,en
233,"Idhu Delivery ok, but pakalam.",ta,support,AP,2026-02-10,delivery,neutral,0,"idhu delivery ok, but pakalam.",id
234,"App crash aagudhu, camera blur.",mix,support,TS,2026-02-02,app,negative,0,"app crash aagudhu, camera blur.",en
235,Worth for money ✅,mix,reviews,DL,2025-11-29,price,positive,0,worth for money ✅,en
236,Costly and quality poor.,mix,youtube,TN,2026-02-18,price,negative,0,costly and quality poor.,en
237,"Idhu Fast delivery, 1 days la vandhuduchu ✅",ta,twitter,MH,2026-02-18,delivery,positive,0,"idhu fast delivery, 1 days la vandhuduchu ✅",fr
238,No comments on packaging.,en,reviews,KL,2026-02-24,packaging,neutral,0,no comments on packaging.,en
239,Box normal-a irundhuchu.,mix,support,KL,2026-02-12,packaging,neutral,0,box normal-a irundhuchu.,en
240,Delivery worst. Tracking update illa.,mix,twitter,DL,2026-01-29,delivery,negative,0,delivery worst. tracking update illa.,en
241,"Support team helpful, issue solve pannitanga.",mix,instagram,KL,2025-12-02,service,positive,0,"support team helpful, issue solve pannitanga.",en
242,Courier smooth-a deliver pannanga.,mix,twitter,TN,2025-12-11,delivery,positive,0,courier smooth-a deliver pannanga.,en
